Date : 2022-12-26 10:47:16
Directory : /Users/Security/TA/C++Tutorial/RayTracing/TWRay
Total : 165 files,  62266 codes, 5048 comments, 4421 blanks, all 71735 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/RayTracing.dir/compiler_depend.ts                          | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/pbrt.dir/DependInfo.cmake                                  | CMake       |         76 |          0 |          6 |         82 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/pbrt.dir/cmake_clean.cmake                                 | CMake       |        134 |          0 |          2 |        136 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/pbrt.dir/cmake_clean_target.cmake                          | CMake       |          3 |          0 |          1 |          4 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/pbrt.dir/compiler_depend.ts                                | TypeScript  |          2 |          0 |          1 |          3 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/Makefile                                                              | Makefile    |      1,228 |        241 |        428 |      1,897 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/cmake_install.cmake                                                   | CMake       |         42 |          0 |          8 |         50 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/compile_commands.json                                                 | JSON        |        322 |          0 |          0 |        322 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/cameras/perspective.cpp                                                 | C++         |        181 |         33 |         29 |        243 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/cameras/perspective.h                                                   | C++         |         29 |          4 |          7 |         40 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/aarect.h                                                           | C++         |        116 |          0 |         27 |        143 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/box.h                                                              | C++         |         35 |          0 |         14 |         49 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/bssrdf.cpp                                                         | C++         |        256 |         56 |         48 |        360 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/bssrdf.h                                                           | C++         |        111 |         16 |         20 |        147 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/bvh.cpp                                                            | C++         |        616 |         67 |         44 |        727 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/bvh.h                                                              | C++         |         49 |          7 |         10 |         66 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/camera.cpp                                                         | C++         |         67 |          4 |         12 |         83 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/camera.h                                                           | C++         |         61 |          9 |         13 |         83 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/efloat.cpp                                                         | C++         |          3 |          1 |          2 |          6 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/efloat.h                                                           | C++         |        217 |         20 |         16 |        253 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/error.cpp                                                          | C++         |         46 |         15 |         12 |         73 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/error.h                                                            | C++         |         19 |          3 |         10 |         32 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/fileutil.cpp                                                       | C++         |         77 |          3 |         17 |         97 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/fileutil.h                                                         | C++         |         20 |          2 |          7 |         29 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/film.cpp                                                           | C++         |        204 |         18 |          6 |        228 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/film.h                                                             | C++         |        128 |         14 |         16 |        158 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/filter.cpp                                                         | C++         |          4 |          2 |          3 |          9 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/filter.h                                                           | C++         |         16 |          4 |          6 |         26 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/floatfile.cpp                                                      | C++         |         47 |          2 |          3 |         52 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/floatfile.h                                                        | C++         |          7 |          1 |          5 |         13 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/geometry.cpp                                                       | C++         |          3 |          0 |          2 |          5 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/geometry.h                                                         | C++         |      1,241 |         51 |        151 |      1,443 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/header_test.cpp                                                    | C++         |          4 |          0 |          1 |          5 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/header_test.h                                                      | C++         |          4 |          0 |          2 |          6 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/header_test2.cpp                                                   | C++         |          5 |          0 |          1 |          6 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/header_test2.h                                                     | C++         |          4 |          0 |          2 |          6 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/hittable.h                                                         | C++         |         19 |        105 |         44 |        168 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/imageio.cpp                                                        | C++         |        355 |         39 |         59 |        453 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/imageio.h                                                          | C++         |         15 |          2 |          7 |         24 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/src/core/integrator.cpp                                                     | C++         |        350 |         52 |         26 |        428 |
